industry,company_code,company_name,company_total_salary,company_employee_count,company_110average_salary,company_109average_salary,company_110median_salary,company_109median_salary,company_eps,industry_average_salary,industry_average_eps,is_under_50w,high_eps_low_salary,growth_but_low_salary,low_salary_reason
生技醫療業,4109,加捷生醫,24399000,50,488000,493000,461000,470000,0.06,714000,1.39,V,,V,員工薪資總額除受各月給薪人數增減變化之影響外，亦因各月給薪人數增減變化及個人敘薪金額不同而有影響。年度結算後雖有盈餘，惟金額不多，加上市況不佳未有成長，因此薪資並無調漲。新進員工較多亦為影響之因素。
生技醫療業,4111,濟生,128778000,237,543000,523000,515000,489000,1.42,714000,1.39,,V,,本公司已於111年4月份全體員工調薪4%
建材營造,4113,聯上,13976000,22,635000,588000,629000,591000,0.63,904000,2.05,,,,
生技醫療業,4114,健喬,373181000,381,979000,1001000,744000,755000,1.02,714000,1.39,,,,
生技醫療業,4116,明基醫,122082000,175,698000,774000,605000,714000,0.65,714000,1.39,,,,
生技醫療業,4120,友華,308476000,296,1042000,1031000,940000,907000,1.39,714000,1.39,,,,
生技醫療業,4121,優盛,59835000,81,739000,782000,653000,679000,1.35,714000,1.39,,,,
生技醫療業,4123,晟德,131924000,169,781000,776000,727000,671000,3.6,714000,1.39,,,,
生技醫療業,4126,太醫,391026000,772,507000,503000,434000,432000,5.32,714000,1.39,,V,,本公司近年營收穩健良好，長期開發供應多樣化醫材產品，基層人力需求較高，110年約占全體員工人數64.8%；全時員工平均薪資雖略低於同業，但自110年起進行營運及人力調整，逐步調整獎金制度以激勵員工效能並提升薪酬
生技醫療業,4127,天良,22074000,41,538000,519000,479000,470000,1.02,714000,1.39,,,,
生技醫療業,4128,中天,116430000,123,947000,856000,714000,699000,0.11,714000,1.39,,,,
生技醫療業,4129,聯合,339009000,512,662000,638000,589000,559000,0.37,714000,1.39,,,,
生技醫療業,4130,健亞,122711000,164,748000,771000,655000,681000,0.0,714000,1.39,,,,
生技醫療業,4131,晶宇,6851000,14,489000,494000,465000,459000,-0.91,714000,1.39,V,,,1.本公司EPS較前一年度雖成長，惟結算後仍虧損，未發年終獎金。2.公司人力精簡，資深人員離職，補缺新人進用薪資按人力市場給薪，致平均薪資些微拉低。
